visit_window,deep_batch,company,tier,customer_type,deep_rank,region,confidence,verified_or_inferred_facts,matched_huasue_products,why_it_matters,main_risk,next_action,website,email,phone,address,sources
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Ani Sup Utara,T0,外卖热汤/麻辣烫/火锅/餐饮连锁,A 直接电话+可约总部/中央厨房,Shah Alam / Selangor,HIGH,[KNOWN] 官网介绍：2003年7月1日在 Plaza Alam Sentral Shah Alam 开始；以汤品为核心；有 Shah Alam 中央厨房；官网列出约36家餐厅并有扩张到100家目标。,单向止回阀热汤盖/碗；PP热汤外卖容器；防漏盖；门店试用包。,热汤就是核心品类，且有中央厨房和多门店，最适合用“爆盖/漏汤/缠膜无效”问题切入。,需要确认他们外卖热汤目前用的容器规格、是否中央采购、是否可做单店试用。,先打总部/门店电话，要运营或采购负责人 WhatsApp；约 booth 2709 或 Shah Alam 中央厨房拜访。,https://anisuputara.com.my/,,,,https://anisuputara.com.my/about-us/ | foodpanda outlet pages
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Mala Mini Hotpot / MMHP,T0,外卖热汤/麻辣烫/火锅/餐饮连锁,A 直接去门店观察+电话总部,KL / Putrajaya / Seri Kembangan,HIGH,[KNOWN] 官网列出 IOI City Mall、Mid Valley、Pavilion Bukit Bintang 等门店；联系页/门店页显示 Seri Kembangan 办公/门店信息和 +60 14-635 3413。,单向止回阀热汤盖/碗；麻辣烫/小火锅外卖容器；高温防爆盖。,门店在你展会期间容易顺路实地看包装，麻辣热汤天然适配排气阀方案。,可能堂食为主；外卖汤底是否热装、是否中央采购要确认。,先到 Pavilion/Mid Valley 门店看现用容器，拍规格；再电话找总部采购/运营。,https://malaminihotpot.com/,,+60 14-635 3413 / contact form,,https://malaminihotpot.com/find-outlet/ | https://malaminihotpot.com/express-outlet/
2026-07-14 to 2026-07-23,P0 offsite priority batch2,OPPA Steamboat,T0,外卖热汤/麻辣烫/火锅/餐饮连锁,A 电话优先，适合排气阀样品测试,Kuchai Lama / Kuala Lumpur,HIGH,[KNOWN] 官网称专注 online ordering and delivery；关于页称 Malaysia’s First Korean Steamboat Delivery；公司 My Oppa Foods Sdn Bhd，地址在 Kuchai Lama；电话 017-2927519。,单向止回阀热汤盖/碗；火锅汤底外卖套装；PP高温防漏盖。,这家不是普通餐厅，是外卖火锅/韩式锅路线，产品痛点非常直接。,可能配送冷藏食材+客户自煮，不一定大量热汤热装；要确认“热汤即食外卖”比例。,WhatsApp/电话问：是否有热汤即食配送、现在是否用缠膜、是否愿意测试防爆盖样品。,https://www.oppasteamboat.com/,,,,https://www.oppasteamboat.com/ | https://www.oppasteamboat.com/about_us | https://www.oppasteamboat.com/index.php?route=information%2Fcontact
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Siong Ben Soup House,T0,外卖热汤/麻辣烫/火锅/餐饮连锁,A 门店/WhatsApp直接测试,Bandar Sri Menjalara / KL,HIGH,[KNOWN] 官网定位 Chinese soup restaurant；提供 food delivery；官网列出地址、+6017-6808183、info@sbsoup.com 和 WhatsApp 链接。,单向止回阀热汤盖/碗；汤品外卖防漏容器。,单店/少店也值得测试，因为汤品痛点极强，适合作为马来西亚案例样板。,规模可能小，不一定能消耗大批量；除非愿意成为样板或引荐同行。,直接 WhatsApp，用“热汤外卖盖子不会被蒸汽顶开”一句话测试兴趣。,https://www.sbsoup.com/,,info@sbsoup.com / +6017-680 8183,,https://www.sbsoup.com/ | https://siongbensouphouse.beepit.com/
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Amelisa Pet & Co.,T0,宠物食品/用品/冻干/营养品,B 先社媒/WhatsApp验证销量和包装权,Malaysia / online,MED,[INFERRED] 现有名单将其归为宠物食品/冻干/营养品方向；需进一步核实是否为自有品牌、是否有冻干/零食/营养补充剂SKU。,F PET小罐；T/J小桶；宠物冻干、营养补充剂、洁齿零食、礼盒组合。,宠物零食/营养品可走高毛利小罐和桶装，和你客户“小白牙”案例逻辑一致。,若只是零售店或代理进口品牌，包装采购权弱；若主销袋装主粮，也不优先。,先找 Instagram/Facebook/Shopee/Lazada 热卖SKU，确认是否自有品牌和是否有采购/品牌负责人。,Shopee/Lazada + Alpha Pets listing,,,,Shopee/Lazada + Alpha Pets listing
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Barkery Oven,T0,宠物食品/用品/冻干/营养品,B 先社媒/WhatsApp验证销量和包装权,Malaysia / online,MED,[INFERRED] 现有名单将其归为宠物食品/冻干/营养品方向；需进一步核实是否为自有品牌、是否有冻干/零食/营养补充剂SKU。,F PET小罐；T/J小桶；宠物冻干、营养补充剂、洁齿零食、礼盒组合。,宠物零食/营养品可走高毛利小罐和桶装，和你客户“小白牙”案例逻辑一致。,若只是零售店或代理进口品牌，包装采购权弱；若主销袋装主粮，也不优先。,先找 Instagram/Facebook/Shopee/Lazada 热卖SKU，确认是否自有品牌和是否有采购/品牌负责人。,https://www.barkeryoven.com/,,,,https://www.barkeryoven.com/
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Belive Petscare,T0,宠物食品/用品/冻干/营养品,B 先社媒/WhatsApp验证销量和包装权,Malaysia / online,MED,[INFERRED] 现有名单将其归为宠物食品/冻干/营养品方向；需进一步核实是否为自有品牌、是否有冻干/零食/营养补充剂SKU。,F PET小罐；T/J小桶；宠物冻干、营养补充剂、洁齿零食、礼盒组合。,宠物零食/营养品可走高毛利小罐和桶装，和你客户“小白牙”案例逻辑一致。,若只是零售店或代理进口品牌，包装采购权弱；若主销袋装主粮，也不优先。,先找 Instagram/Facebook/Shopee/Lazada 热卖SKU，确认是否自有品牌和是否有采购/品牌负责人。,https://belivepetscare.com.my/,,,,https://belivepetscare.com.my/
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Muttstore,T0,宠物食品/用品/冻干/营养品,B 先社媒/WhatsApp验证销量和包装权,Malaysia / online,MED,[INFERRED] 现有名单将其归为宠物食品/冻干/营养品方向；需进一步核实是否为自有品牌、是否有冻干/零食/营养补充剂SKU。,F PET小罐；T/J小桶；宠物冻干、营养补充剂、洁齿零食、礼盒组合。,宠物零食/营养品可走高毛利小罐和桶装，和你客户“小白牙”案例逻辑一致。,若只是零售店或代理进口品牌，包装采购权弱；若主销袋装主粮，也不优先。,先找 Instagram/Facebook/Shopee/Lazada 热卖SKU，确认是否自有品牌和是否有采购/品牌负责人。,https://muttstore.my/,,,,https://muttstore.my/
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Notti Pet Food,T0,宠物食品/用品/冻干/营养品,A 适合宠物冻干小罐方案,Online / Malaysia,HIGH,[KNOWN] 官网称 The First Slow-Baked Kibble in Malaysia，并销售 freeze-dried treats and supplements；产品页有 allergy care、marine omega、protein booster、freeze-dried cubes 等。,F PET小罐；T/J小桶；冻干零食/营养补充剂罐；透明展示包装。,和你发的小白牙宠物营养桶逻辑最像，适合用“高端宠物营养品罐装升级”切入。,部分产品标注 formulated in Malaysia / produced in China，要确认包装采购权在马来西亚还是中国供应链。,先社媒/官网找品牌负责人，话术围绕冻干 cube、supplement jar、sample tub。,https://nottipetfood.com/,,,,https://nottipetfood.com/ | https://nottipetfood.com/collections/dog-treats | Petsmore NOTTI product pages
2026-07-14 to 2026-07-23,P0 offsite priority batch2,Paw-cipes,T0,宠物食品/用品/冻干/营养品,A 适合宠物冻干/猫条包装升级,Online / Malaysia,HIGH,[KNOWN] 官网称 Malaysian Voted #1 Healthiest Treat Brand；产品页显示 freeze dried treat、targeted wellness support、Paw-Stix wet treat 等。,F PET小罐；T/J小桶；冻干零食罐；猫条/湿粮外采软包另列。,冻干、湿零食、健康定位都适合做高端包装展示，不是普通宠物店。,湿猫条偏软包；注塑包装更适合冻干和礼盒/组合装。,WhatsApp/Instagram开发：问 freeze-dried treat 是否计划推出 jar/tub 版或礼盒组合。,https://pawcipes.my/,,,,https://pawcipes.my/ | https://pawcipes.my/collections/all | https://vulcanpost.com/882365/paw-cipes-malaysia-pet-food-freeze-dried-treats/
