workbench_id,row_id,source_pool,original_review_status,original_tier,company,category,location_or_country,booth,website,email,phone_whatsapp,product_packaging_signal,huasue_route,recommended_angle,risk_to_check,first_action,kevin_feedback_notes,source_link,source_notes
WB001,M001,old_master_233,已审核,T0,Chocofac (M) Sdn Bhd,chocolate manufacturer; food_direct_customer,Bangi Selangor / Malaysia / FDM featured,,https://www.fooddrinksmalaysia.com/who-exhibits/,,03-8926 9762 / 019-332 8210,chocolate manufacturing and outlet,F/E first; T/J optional,"chocolate gift boxes, PET jars, clear retail packs, trays / PET jars, clear retail boxes, gift packs, paper bags",,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,"Very strong opportunity; chocolate with multiple packaging formats, likely uses injection packaging.",,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
WB002,M002,old_master_233,已审核,T0,Julie's,biscuit / cookie / wafer roll / festive snack tub / biscuit_cookie_snack / biscuit_cookie_wafer_roll,Malaysia brand already in system,,,enquiry@julies.com.my,,,T/J first,"T-series PP tubs + J-series PP tamper-evident boxes for biscuits, cookies, wafer rolls and snack gift packs.",,Use as benchmark for cookie/wafer/tub packaging; continue similar customer development after official product-format review / Do not send old draft r-6426962799632699458; use corrected draft r7098687811597240470 instead. / Review and send corrected Gmail draft r7098687811597240470; old draft r-6426962799632699458 should not be sent.,Very suitable; T/J first. Factory visit can be considered even without appointment.,,"Corrected 2026-07-04: official product format points to T/J first, not E/K/F. Old PET jar/clear-box angle is secondary only. / Draft created: draft_id=r-6426962799632699458; message_id=19f2bfffa7ab51d8. Attachments: K PP meal boxes, F PET jars. OBSOLETE: product angle/attachments were wrong; Julie's should lead with T/J, not K/F. / Corrected after official product review. Julie's products include wafer rolls, sandwich biscuits, oat cookies, wafer cubes and assorted biscuits. Attachments: T-series PP tubs, J-series PP tamper-evident boxes. draft_id=r7098687811597240470; message_id=19f2c0e31c95a59e."
WB003,M003,old_master_233,已审核,T0,Julie’s Manufacturing Sdn Bhd,biscuit/snack manufacturer,Melaka Malaysia,,https://www.julies.com.my/,,,"biscuits, crackers, cookies",T/J first; F/E optional,IML/PET display boxes biscuit trays gift series packaging,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,Very suitable; T/J first. Factory visit can be considered even without appointment.,,
WB004,M004,old_master_233,已审核,T0,Morris Food Industries Sdn Bhd,bakery_biscuit_cookie / food_oem_private_label,"Lot 422, No. 11, Jalan Pinang Jaya, Kepala Batas, 06200 Alor Setar, Kedah, Malaysia",,https://www.morrisfood.com.my/,sales@morrisfood.com.my,+6012-521 1500,"Biscuits, wafers, cookies, OEM/private label, gift box",T/J first; F/E optional,"OEM/private-label packaging: brand-different clear box, inner tray, promotion pack",,Email sent from Gmail draft r1767703988001567414; then WhatsApp/call follow-up,Very suitable.,,"Gmail draft created. Duplicated in bakery and OEM pools; created one draft only. Angle: OEM biscuit trays, clear PET packs and promotional packaging. User confirmed all first-batch drafts were sent on 2026-07-03."
WB005,M005,old_master_233,已审核,T0/T1,NIMS,chocolate snack tub / confectionery,Malaysia brand already in trial batch,,,,,,F/E first; T/J optional,PP/IML tubs / PET jars / chocolate snack tubs,,Continue WhatsApp/email/LinkedIn trial already prepared,Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.,,Already in trial batch; validates Combi-Pack reverse-lead method.
WB006,M006,old_master_233,已审核,T0/T1,NIMS Adeliciousz,snack/confectionery brand; food_direct_customer / snack_confectionery / chocolate_tub / snack_confectionery / chocolate_tub / full_existing_product_fit,Malaysia / FDM featured,,https://www.fooddrinksmalaysia.com/who-exhibits/ / https://nims.my/,"sales@nims.my; marketing@nims.my; export@nims.my; nims.hq@gmail.com / sales@nims.my, marketing@nims.my, export@nims.my, customerservice@nims.my, nims.hq@gmail.com",+603-33964777 / +6019-7077725 / +6016-7775507 / website/whatsapp/email/linkedin/volza,chips/snack products / PET jars for chocolate/snacks; PP/IML tubs for choco tub; clear boxes for gift/mixed packs,F/E first; T/J optional,"snack tubs, clear packs, paper bags for retail / PET jars for chocolate/snacks; PP/IML tubs for choco tub; clear boxes for gift/mixed packs",,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach. / WhatsApp first; email export@sales; LinkedIn BD director if no reply / WhatsApp first; email export/sales; LinkedIn BD director if no reply / Review and send Gmail draft r-4408467684294545514; then WhatsApp +6019-7077725 / LinkedIn BD follow-up / Monday 09:30 reminder: verify WhatsApp +6019-7077725 / +6016-7775507; if not available call +603-33964777 and ask for packaging sourcing / sample review / R&D contact; goal is MIFB booth 2709 meeting or office/factory visit.,Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.,,"FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / Best trial lead: choco tub product + export signal + official social/contact channels. / Draft created: draft_id=r-4408467684294545514; message_id=19f2bfdf7ffd114e. Attachments: B PP tamper-evident, F PET jars. / Automation created in Codex app with id=nims. NIMS is marked full existing-product fit; use nims_whatsapp_outreach_dashboard_2026-07-04.html and nims_homepage_contact_form_dashboard_2026-07-04.html."
WB007,M007,old_master_233,已审核,T0,Torto Food Industries (M) Sdn Bhd,bakery_biscuit_cookie,"Plot 105, MK 11, Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",,https://tortofood.com/contact-us/,info@tortofood.com,+604-501 7501,"Wafer rolls, cookies, transparent PET box, cookie jar, anti-breakage tray",T/J first; F/E optional,"Wafer roll and cookie packaging: anti-breakage inner tray, clear display box, festive gift pack",,Email sent from Gmail draft r7809505707678354741; then WhatsApp light follow-up if no reply,"Kevin knows owner; asked for 2L bucket sample, but mold not ready. Direct company visit recommended.",,"Gmail draft created. Angle: wafer roll anti-breakage trays, clear PET display boxes and festive packs. WhatsApp 60124001539 available. User confirmed all first-batch drafts were sent on 2026-07-03."
WB008,M008,old_master_233,已审核,T0,Wonder Food Sdn Bhd,biscuits confectionery pudding jelly / snack_confectionery,"Skudai / Kulai, Johor",,https://www.wonder-food.com.my/,info@wonder-food.com.my / sales@wonder-food.com.my / ltm@wonder-food.com.my,(+607) 554 1696 / (+607) 554 2967,"snacks, bakery, beverage, confectionery",T/J first; F/E optional,"snack clear boxes, retail packs, PET jars, promotional display packaging",,Review/send Gmail draft r6407868739536184624; call +607-6623198,Has direct fit for tamper-evident box series.,,"Second batch. Angle: snack clear boxes, retail packs, PET jars and promotional display packaging."
WB009,N013,new_nonduplicate_90,未审核-新候选,T0,"DONGGUAN CITY SHAERGEFOOD CO.,LTD.",packaged food exhibitor,CHINA,3J153A HALL 3,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,"T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line.","Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
WB010,N006,new_nonduplicate_90,未审核-新候选,T0,EMSAL SEKERLEME KURUYEMIS GIDA SAN. A.S,sweets / confectionery exhibitor,TURKIYE,2D067 HALL 2,,,,New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth.,E/F PET clear boxes and jars; custom rigid gift/display packaging; T/J only if snack tubs or secure boxes appear.,"Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.","Not yet Kevin-reviewed; must confirm official website, current packaging photos, manufacturer/trader role and scale.",Use booth/source to verify products first; only then prepare outreach or meeting request.,,https://www.fooddrinksmalaysia.com/exhibitors-list/,"FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact."
