priority,workbench_id,tier,company,phone_whatsapp,email,website,product_angle,call_goal,opening_line_en,if_gatekeeper_en,must_capture
1,WB001,T0,Chocofac (M) Sdn Bhd,03-8926 9762 / 019-332 8210,,https://www.fooddrinksmalaysia.com/who-exhibits/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
2,WB004,T0,Morris Food Industries Sdn Bhd,+6012-521 1500,sales@morrisfood.com.my,https://www.morrisfood.com.my/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
3,WB006,T0/T1,NIMS Adeliciousz,+603-33964777 / +6019-7077725 / +6016-7775507 / website/whatsapp/email/linkedin/volza,"sales@nims.my; marketing@nims.my; export@nims.my; nims.hq@gmail.com / sales@nims.my, marketing@nims.my, export@nims.my, customerservice@nims.my, nims.hq@gmail.com",https://www.fooddrinksmalaysia.com/who-exhibits/ / https://nims.my/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
4,WB007,T0,Torto Food Industries (M) Sdn Bhd,+604-501 7501,info@tortofood.com,https://tortofood.com/contact-us/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
5,WB008,T0,Wonder Food Sdn Bhd,(+607) 554 1696 / (+607) 554 2967,info@wonder-food.com.my / sales@wonder-food.com.my / ltm@wonder-food.com.my,https://www.wonder-food.com.my/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
6,WB041,T1 AI_prescreen,Hup Seng,+607-415 1211,hupseng@hupseng.com; shirleytio@hupseng.com,https://www.hupseng.com/contact-us,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
7,WB042,T1 AI_prescreen,Khong Guan Biscuit Factory (Johore) Sdn Bhd,1800-22-6188,emailus@khongguan.com.my,https://www.khongguan.com.my/email-us/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
8,WB048,T1-T2,Meika Food Industries Sdn. Bhd.,+603 8941 0959,,https://www.meikafoods.com/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
9,WB049,T1,Oriental Food Industries Sdn Bhd,+606-231 0333,info@ofi.com.my; hrd@ofi.com.my,https://www.ofih.com.my/contact-us/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
10,WB050,T1,Radiant Chocolate & Food Industries Sdn Bhd,+604-4211234 / +6012-8926928 WhatsApp,sales@radiantfood.com.my,https://radiantfood.com.my/contact-us/ / https://www.fooddrinksmalaysia.com/who-exhibits/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
11,WB052,T1,Sweetkiss Food Industry Sdn. Bhd.,+603-8724 4188 / +603-8724 4688,info@sweetkissfood.com,https://www.sweetkissfood.com/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
12,WB055,T1-T2,TSC Chocolate Manufacturing Sdn Bhd,+603 7846 0010 / +603 7848 3010,enquiry@tscchocolate.com,https://tscchocolate.com/contact-us/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
13,WB054,T1/T2,The Dessert Factory Sdn Bhd / The Dessert Empire,+60 113 614 9847,sales_msia@thedessertempire.com,https://thedessertempire.com/contact,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
14,WB056,T1/T2,Viki Food Industries Sdn Bhd,+604-733 1694,info@vikifood.com,https://www.vikifood.com/contactus/,"T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery",Get direct WhatsApp/email of packaging or purchasing person in charge; then request MIFB booth meeting or nearby factory/office visit.,"Hi, this is Kevin from HUASUE Mould Plastic. We make food plastic packaging such as T/J PP tubs and tamper-evident boxes for cookies, snacks, confectionery. May I speak with the person in charge of packaging or purchasing?",Could you help me pass this to the packaging or purchasing person? I only need to send sample photos first and check if there is a suitable person to meet during MIFB in KL.,Purchasing/packaging PIC name; direct WhatsApp; direct email; whether MIFB/office meeting is possible; product currently using tubs/jars/boxes.
