review_status,display_tier,kevin_manual_tier,ai_prescreen_tier,company,category,location,website,email,phone_whatsapp,product_fit,huasue_series_fit,recommended_angle,recommended_first_channel,contact_status,followup_status,next_action,background_research_status,scale_check_status,revenue_status,social_media_status,kevin_feedback_notes,feedback_source,source_notes
已审核,T0,T0,,Chocofac (M) Sdn Bhd,chocolate manufacturer; food_direct_customer,Bangi Selangor / Malaysia / FDM featured,https://www.fooddrinksmalaysia.com/who-exhibits/,,03-8926 9762 / 019-332 8210,chocolate manufacturing and outlet,F/E first; T/J optional,"chocolate gift boxes, PET jars, clear retail packs, trays / PET jars, clear retail boxes, gift packs, paper bags",WhatsApp/phone first,needs_contact_research,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,not_started,not_checked,not_checked,not_checked,"Very strong opportunity; chocolate with multiple packaging formats, likely uses injection packaging.",kevin_selection_feedback_round_2026-07-05.md,FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.
已审核,T0,T0,,Julie's,biscuit / cookie / wafer roll / festive snack tub / biscuit_cookie_snack / biscuit_cookie_wafer_roll,Malaysia brand already in system,,enquiry@julies.com.my,,,T/J first,"T-series PP tubs + J-series PP tamper-evident boxes for biscuits, cookies, wafer rolls and snack gift packs.",Gmail,obsolete_draft_wrong_product_angle / gmail_draft_created_corrected,gmail_draft_created_corrected,Use as benchmark for cookie/wafer/tub packaging; continue similar customer development after official product-format review / Do not send old draft r-6426962799632699458; use corrected draft r7098687811597240470 instead. / Review and send corrected Gmail draft r7098687811597240470; old draft r-6426962799632699458 should not be sent.,not_started,not_checked,not_checked,not_checked,Very suitable; T/J first. Factory visit can be considered even without appointment.,kevin_selection_feedback_round_2026-07-05.md,"Corrected 2026-07-04: official product format points to T/J first, not E/K/F. Old PET jar/clear-box angle is secondary only. / Draft created: draft_id=r-6426962799632699458; message_id=19f2bfffa7ab51d8. Attachments: K PP meal boxes, F PET jars. OBSOLETE: product angle/attachments were wrong; Julie's should lead with T/J, not K/F. / Corrected after official product review. Julie's products include wafer rolls, sandwich biscuits, oat cookies, wafer cubes and assorted biscuits. Attachments: T-series PP tubs, J-series PP tamper-evident boxes. draft_id=r7098687811597240470; message_id=19f2c0e31c95a59e."
已审核,T0,T0,,Julie’s Manufacturing Sdn Bhd,biscuit/snack manufacturer,Melaka Malaysia,https://www.julies.com.my/,,,"biscuits, crackers, cookies",T/J first; F/E optional,IML/PET display boxes biscuit trays gift series packaging,Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,Very suitable; T/J first. Factory visit can be considered even without appointment.,kevin_selection_feedback_round_2026-07-05.md,
已审核,T0,T0,,Morris Food Industries Sdn Bhd,bakery_biscuit_cookie / food_oem_private_label,"Lot 422, No. 11, Jalan Pinang Jaya, Kepala Batas, 06200 Alor Setar, Kedah, Malaysia",https://www.morrisfood.com.my/,sales@morrisfood.com.my,+6012-521 1500,"Biscuits, wafers, cookies, OEM/private label, gift box",T/J first; F/E optional,"OEM/private-label packaging: brand-different clear box, inner tray, promotion pack",Email,sent,sent,Email sent from Gmail draft r1767703988001567414; then WhatsApp/call follow-up,not_started,not_checked,not_checked,not_checked,Very suitable.,kevin_selection_feedback_round_2026-07-05.md,"Gmail draft created. Duplicated in bakery and OEM pools; created one draft only. Angle: OEM biscuit trays, clear PET packs and promotional packaging. User confirmed all first-batch drafts were sent on 2026-07-03."
已审核,T0/T1,T0/T1,,NIMS,chocolate snack tub / confectionery,Malaysia brand already in trial batch,,,,,F/E first; T/J optional,PP/IML tubs / PET jars / chocolate snack tubs,Background/contact research first,,uncontacted,Continue WhatsApp/email/LinkedIn trial already prepared,not_started,not_checked,not_checked,not_checked,Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.,kevin_selection_feedback_round_2026-07-06.md,Already in trial batch; validates Combi-Pack reverse-lead method.
已审核,T0/T1,T0/T1,,NIMS Adeliciousz,snack/confectionery brand; food_direct_customer / snack_confectionery / chocolate_tub / snack_confectionery / chocolate_tub / full_existing_product_fit,Malaysia / FDM featured,https://www.fooddrinksmalaysia.com/who-exhibits/ / https://nims.my/,"sales@nims.my; marketing@nims.my; export@nims.my; nims.hq@gmail.com / sales@nims.my, marketing@nims.my, export@nims.my, customerservice@nims.my, nims.hq@gmail.com",+603-33964777 / +6019-7077725 / +6016-7775507 / website/whatsapp/email/linkedin/volza,chips/snack products / PET jars for chocolate/snacks; PP/IML tubs for choco tub; clear boxes for gift/mixed packs,F/E first; T/J optional,"snack tubs, clear packs, paper bags for retail / PET jars for chocolate/snacks; PP/IML tubs for choco tub; clear boxes for gift/mixed packs",WhatsApp/phone + export email + LinkedIn / Research / Gmail / Reminder,needs_contact_research / research_prepared_not_contacted / gmail_draft_created / reminder_scheduled,reminder_scheduled,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach. / WhatsApp first; email export@sales; LinkedIn BD director if no reply / WhatsApp first; email export/sales; LinkedIn BD director if no reply / Review and send Gmail draft r-4408467684294545514; then WhatsApp +6019-7077725 / LinkedIn BD follow-up / Monday 09:30 reminder: verify WhatsApp +6019-7077725 / +6016-7775507; if not available call +603-33964777 and ask for packaging sourcing / sample review / R&D contact; goal is MIFB booth 2709 meeting or office/factory visit.,not_started / trial_researched_2026-07-04,not_checked,not_checked,not_checked / checked_links_found / linkedin: LinkedIn search found Director of Business Development at NIMS Adeliciousz Sdn Bhd; facebook: Official site links Facebook,Very suitable. Growth-stage snack manufacturer and already uses tub-type products. E/F/T/J can all be relevant.,kevin_selection_feedback_round_2026-07-06.md,"FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / Best trial lead: choco tub product + export signal + official social/contact channels. / Draft created: draft_id=r-4408467684294545514; message_id=19f2bfdf7ffd114e. Attachments: B PP tamper-evident, F PET jars. / Automation created in Codex app with id=nims. NIMS is marked full existing-product fit; use nims_whatsapp_outreach_dashboard_2026-07-04.html and nims_homepage_contact_form_dashboard_2026-07-04.html."
已审核,T0,T0,,Torto Food Industries (M) Sdn Bhd,bakery_biscuit_cookie,"Plot 105, MK 11, Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah, 14000 Bukit Mertajam, Pulau Pinang, Malaysia",https://tortofood.com/contact-us/,info@tortofood.com,+604-501 7501,"Wafer rolls, cookies, transparent PET box, cookie jar, anti-breakage tray",T/J first; F/E optional,"Wafer roll and cookie packaging: anti-breakage inner tray, clear display box, festive gift pack",Email,sent,sent,Email sent from Gmail draft r7809505707678354741; then WhatsApp light follow-up if no reply,not_started,not_checked,not_checked,not_checked,"Kevin knows owner; asked for 2L bucket sample, but mold not ready. Direct company visit recommended.",kevin_selection_feedback_round_2026-07-05.md,"Gmail draft created. Angle: wafer roll anti-breakage trays, clear PET display boxes and festive packs. WhatsApp 60124001539 available. User confirmed all first-batch drafts were sent on 2026-07-03."
已审核,T0,T0,,Wonder Food Sdn Bhd,biscuits confectionery pudding jelly / snack_confectionery,"Skudai / Kulai, Johor",https://www.wonder-food.com.my/,info@wonder-food.com.my / sales@wonder-food.com.my / ltm@wonder-food.com.my,(+607) 554 1696 / (+607) 554 2967,"snacks, bakery, beverage, confectionery",T/J first; F/E optional,"snack clear boxes, retail packs, PET jars, promotional display packaging",Email,drafted_not_sent,drafted_not_sent,Review/send Gmail draft r6407868739536184624; call +607-6623198,not_started,not_checked,not_checked,not_checked,Has direct fit for tamper-evident box series.,kevin_selection_feedback_round_2026-07-05.md,"Second batch. Angle: snack clear boxes, retail packs, PET jars and promotional display packaging."
已审核,T1,T1,,KOON BROTHER SDN BHD / MyBizcuit,biscuit/cookie manufacturer,Johor Malaysia,https://koonbrothers.com,,,,T/J first; F/E optional,Absorbent/anti-break tray PET/PP box gift box inner tray,Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,Opportunity if they want to change packaging.,kevin_selection_feedback_round_2026-07-05.md,
已审核,T1,T1,,Magnus Oriental Supplies (M) Sdn. Bhd.,food packaging supplier,Subang Jaya Selangor Malaysia,https://www.magnusoriental.com.my,,,,Non-food track; lower current priority,Channel/reseller for PP/PET containers and disposable packaging,Website/contact discovery,,uncontacted / 未跟进-待背景调查,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,not_started,not_checked,not_checked,not_checked,Opportunity exists but not fully confirmed.,kevin_selection_feedback_round_2026-07-05.md,
