priority_action,final_tier,company,sources,route_included,route_area,route_seq,size_class,customer_type,fit_product,phone,email,website,maps,address,has_maps,has_phone,has_email,open_status,distance_km,review_status,contact_status,followup_status,gmail_draft_id,next_action,risk,notes,photo_paths,entity_key,tier_group,country_scope,channel_track,data_confidence,last_updated
Develop contact,T0,7-Eleven Malaysia / 7CAFé,2026-07-12 Malaysia F&B chain pool,No,,,"2,600+ stores; 536 7CAFé outlets; QVI commissary/RTE signal",Convenience store + café + ready-to-eat,RTE餐盒、汤/热食容器、纸杯、杯盖、外卖袋、食品托盘,,,https://www.7eleven.com.my/,,,No,No,No,,,待深挖/待联系,Not contacted,Not started,,Long-term strategic account; investigate QVI Foods / procurement vendor route.,,体量最大之一，7CAFé/RTE会持续消耗包装。; Very high: corporate tender/supplier qualification.; Huge packaging + RTE route,,7elevenmalaysia7caf,T0,Malaysia,hot_soup_valve; external_sourcing; rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,Alpha Pets,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"Official site says premium cat/dog food, healthy cat snacks, tailored dog meals, eco cat litter.","Premium cat/dog food, treats/snacks supplier","T/J tubs, PET jars, accessory boxes",,,https://www.alphapets.com.my/,,"Selangor, Malaysia",No,No,No,,,Pending review,Find owner/buyer; pitch pet snack tub packaging and channel resale.,Not started,,Find owner/buyer; pitch pet snack tub packaging and channel resale.,,"Already has treat/snack categories and WhatsApp inquiry flow; channel + direct-product route.; As supplier/brand owner, treats/snacks can use tubs; also channel for Amelisa/PETS Orgo.; existing_possible; NO_KNOWN_BOOTH / 展会外处理; Find owner/buyer; pitch pet snack tub packaging and channel resale.",,alphapets,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Route now,T0,Amelisa Pet & Co.,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Oyen lists Amelisa freeze-dried cod fish; Lazada snippets say local Malaysia brand and SGS verified.,Freeze-dried pet food/treats,"T/J small tubs, PET jars, sample packs",,,Shopee/Lazada + Alpha Pets listing,,Selangor / Malaysia,No,No,No,,,Pending review,Find brand owner contact; check Shopee volume before outreach.,Not started,,Find brand owner contact; check Shopee volume before outreach.,,Directly matches freeze-dried pet snacks; likely small SKU weights fit reference tub sizes.; Freeze-dried trial/main packs likely pouch; tub can improve premium display and moisture protection.; new; NO_KNOWN_BOOTH / 展会外处理; Find brand owner contact; check Shopee volume before outreach.,,amelisapetand,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,High,2026-07-21
Route now,T0,Ani Sup Utara,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-12 Malaysia F&B chain pool; 2026-07-12 export-scale hot soup pool; 2026-07-12 offsite visit pool,Yes,,,27 branches; central kitchen in Shah Alam; 25+ outlets,Malay soup restaurant chain,Check-valve soup bowl for sup utara takeaway/delivery; 排气阀餐盒；热汤外卖碗; Very high: soup is core product and central kitchen exists.,,,https://anisuputara.com.my/,,,No,No,No,,,待深挖/待联系 | main_attack,Call HQ/central kitchen; ask purchasing/packaging PIC,Not started,,Call central kitchen/HQ; pitch hot soup leakage-control test. | Call Shah Alam central kitchen/HQ; pitch hot soup leakage-control sample test.,,"Official site says soup is core, central kitchen in Shah Alam, 27 branches.; 核心就是汤品，中央厨房+27分店，排气阀产品逻辑非常直接。; Branch count and soup focus support export MOQ discussion.; Medium: Malay chain, need correct PIC.; Hot soup valve main target; 25+ outlets; NO_KNOWN_BOOTH / 展会外处理; Call HQ/central kitchen; ask purchasing/packaging PIC",,anisuputara,T0,Malaysia / event-discovered; Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
Route now,T0,AS Teng Teng Trading Sdn Bhd,160 T0/T1整合池; 跟进状态表; 2026-07-18 consolidated master; 2026-07-12 offsite visit pool,Yes,,,,巧克力/糖果/甜品制造,Teng-teng/candy/snack products may fit PET jars and PP tubs for gift/sharing packs.,,,,,,No,No,No,,,Pending review,Not contacted,Not started,,先电话/WhatsApp确认负责人和地址；如果在同一区域，带 T/J/F/E 或排气阀样品上门。,,Direct snack category but packaging format needs confirmation. / Risk: Need official source/contact; NO_KNOWN_BOOTH / 展会外处理; 待背景调查,,astengtengtrading,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,Barkery Oven,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,"BURO says Barkery Oven has been around since 2011 and sells dehydrated proteins, cakes, nut butters.","Natural dog treats, nut butters, cakes","T/J tubs, PET jars, small PP containers",,,https://www.barkeryoven.com/,,Malaysia,No,No,No,,,Pending review,Check current packaging and stockists; pitch tubs for nut butter/treat line.,Not started,,Check current packaging and stockists; pitch tubs for nut butter/treat line.,,Long-standing premium treat brand; suitable for value packs and nut butter tubs.; Nut butters and treats can use jars/tubs; cakes less relevant.; new; NO_KNOWN_BOOTH / 展会外处理; Check current packaging and stockists; pitch tubs for nut butter/treat line.,,barkeryoven,T0,Malaysia / event-discovered; Malaysia,pet_packaging; rigid_food_packaging,Medium,2026-07-21
Route now,T0/T1,Barry Callebaut (M) Sdn Bhd,31中大型路线池; Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,Yes,A1 Klang / Port Klang; A1 Klang / Port Klang west line,4,Medium/Large target,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,03-3169 3333,,,https://www.google.com/maps/place/Barry+Callebaut+%28M%29+Sdn+Bhd/data=!4m7!3m6!1s0x31cdaacfcef06187:0x526f28f9eb4fbbd4!8m2!3d3.0322366!4d101.3727769!16s%2Fg%2F1thptbf5!19sChIJh2Hwzs-qzTER1LtP6_kob1I?authuser=0&hl=zh-CN&rclk=1,"巧克力工厂 · Lot 2, Jalan Sultan Mohamed 1",Yes,Yes,No,暂停营业/先电话确认,20.6,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"company/factory/channel; 141 reviews; named target; company/factory/channel signal; 141 Google reviews; named medium-large candidate; 4.2(141); chocolate factory Klang Malaysia; 新地图线索; Barry Callebaut (M) Sdn Bhd; 巧克力工厂 · Lot 2, Jalan Sultan Mohamed 1; 暂停营业 · 03-3169 3333; ; 网站; ; 路线; 没有其他结果了。; ; 移动地图时更新搜索结果; ; 图像 © 2026 ，地图数据 © 2026 Google马来西亚条款隐私权发送产品反馈",,barrycallebaut,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Develop contact,T0/T1,Belice Chocolate Kingdom,Google Maps 105筛选池; 2026-07-18 consolidated master; 2026-07-17 corrected Google Maps discovery,No,A4 KL / Cheras / Batu Caves,,Small/unclear - lower priority,巧克力/可可/糖果,T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装,03-2145 8211,,,https://www.google.com/maps/place/Belice+Chocolate+Kingdom/data=!4m7!3m6!1s0x31cc362e26841de5:0xe4545c11a76ce1ba!8m2!3d3.1446364!4d101.7178617!16s%2Fg%2F1td7420h!19sChIJ5R2EJi42zDERuuFspxFcVOQ?authuser=0&hl=zh-CN&rclk=1,"巧克力店 · 38, Jalan Utara",Yes,Yes,No,周六可跑 周六09:00,21.6,Google Maps screened,Not contacted,Not started,,优先问包装开发/采购，是否有礼品装、透明罐、节日桶装 SKU,,"retail/shop; chocolate factory Kuala Lumpur Malaysia; confectionery manufacturer Kuala Lumpur Malaysia; 新地图线索; Belice Chocolate Kingdom; 4.0(3,323); 巧克力店 · 38, Jalan Utara; 当地巧克力生产商的直销店; 已结束营业 · 开始营业时间：周六09:00 · 03-2145 8211; ; 路线; 门店服务",,belicechocolatekingdom,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,Medium,2026-07-21
Route now,T0,Belive Petscare,160 T0/T1整合池; 2026-07-18 consolidated master; 2026-07-09 pet packaging pool; 2026-07-12 offsite visit pool,Yes,,,Official site: pet supplement OEM/ODM for dogs and cats; collaborates with 30+ raw material suppliers/research institutions.,OEM/ODM pet supplements and vitamins,"T/J small PP tubs, tamper-evident boxes, sample kits, PET display jars",,,https://belivepetscare.com.my/,,Malaysia,No,No,No,,,Pending review,Find OEM sales/procurement contact; pitch supplement tub and sample trial.,Not started,,Find OEM sales/procurement contact; pitch supplement tub and sample trial.,,"Closest to reference image: pet health supplement in branded small tub; decision maker likely understands custom packaging.; Functional powder/tablets/chews likely need premium small packs, jars, tubs or kits.; new; NO_KNOWN_BOOTH / 展会外处理; Find OEM sales/procurement contact; pitch supplement tub and sample trial.",,belivepetscare,T0,Malaysia / event-discovered; Malaysia,rigid_food_packaging,High,2026-07-21
Develop contact,T0/T1,Benns Chocolate Factory Sdn Bhd,2026-07-17 corrected Google Maps discovery; 2026-07-12 offsite visit pool,Yes,,,,外卖热汤/麻辣烫/火锅/餐饮连锁,"T/J系列、PET罐/盒、礼品展示包装；代工厂可问定制包装; Chocolate bars/gifts and premium products can fit clear PET boxes, jars and gift packaging.",03-9076 5887,,https://bennschocolate.com/contact-us/,https://www.google.com/maps/place/Benns+Chocolate+Factory+Sdn+Bhd/data=!4m7!3m6!1s0x31cdcbef7ac119f1:0xbae032c8c4cec620!8m2!3d3.0194671!4d101.7674712!16s%2Fg%2F11h1ldkd18!19sChIJ8RnBeu_LzTERIMbOxMgy4Lo?authuser=0&hl=zh-CN&rclk=1,"巧克力工厂 · Lot no. 1, Jalan CJ 1/6C Kawasan Perindustrian Cheras Jaya",Yes,Yes,No,,,Google Maps screened,Not contacted,Not started,,先电话确认是否有包装采购/产品开发负责人，再决定是否跑；不要直接空跑。,,"4.4(43); confectionery manufacturer Selangor Malaysia; 已在总表/前批地图; Benns Chocolate Factory Sdn Bhd; 巧克力工厂 · Lot no. 1, Jalan CJ 1/6C Kawasan Perindustrian Cheras Jaya; 已结束营业 · 开始营业时间：周一09:00 · 03-9076 5887; ; 网站; ; 路线; 门店服务; NO_KNOWN_BOOTH / 展会外处理; 待背景调查; Official contact page shows Malaysia factory address. / Risk: Likely premium/smaller; verify volume",,bennschocolatefactory,T0,Malaysia,hot_soup_valve; rigid_food_packaging,Medium,2026-07-21
